model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CML,50,1,1E-05,30,Euclidean,0,1,,"[0.012, 0.0005]","[0.0015, 0.0001]","[0.0015, 0.0001]","[0.0015, 0.0001]","[0.0016, 0.0001]","[0.0013, 0.0]","[0.0016, 0.0003]","[0.0088, 0.0007]","[0.0131, 0.0008]","[0.0173, 0.001]","[0.0044, 0.0005]","[0.0395, 0.0014]"
CML,100,1,1E-05,30,Euclidean,0,1,,"[0.017, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0027, 0.0002]","[0.0017, 0.0001]","[0.003, 0.0004]","[0.0142, 0.0009]","[0.02, 0.001]","[0.0249, 0.0011]","[0.0081, 0.0007]","[0.0524, 0.0016]"
CML,200,1,1E-05,30,Euclidean,0,1,,"[0.0238, 0.0008]","[0.0033, 0.0002]","[0.003, 0.0001]","[0.0027, 0.0001]","[0.0041, 0.0002]","[0.0023, 0.0001]","[0.0055, 0.0005]","[0.0204, 0.001]","[0.0272, 0.0012]","[0.0333, 0.0013]","[0.0127, 0.0008]","[0.0697, 0.0019]"
CML,50,1,0.0001,30,Euclidean,0,1,,"[0.0121, 0.0005]","[0.0015, 0.0001]","[0.0015, 0.0001]","[0.0015, 0.0001]","[0.0016, 0.0001]","[0.0014, 0.0]","[0.0016, 0.0003]","[0.0089, 0.0007]","[0.0131, 0.0008]","[0.0175, 0.001]","[0.0048, 0.0005]","[0.0399, 0.0014]"
CML,100,1,0.0001,30,Euclidean,0,1,,"[0.0171, 0.0006]","[0.0025, 0.0001]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.0028, 0.0002]","[0.0017, 0.0001]","[0.0032, 0.0004]","[0.015, 0.0009]","[0.0207, 0.001]","[0.026, 0.0012]","[0.0086, 0.0007]","[0.0517, 0.0016]"
CML,200,1,0.0001,30,Euclidean,0,1,,"[0.0242, 0.0008]","[0.0034, 0.0002]","[0.003, 0.0001]","[0.0028, 0.0001]","[0.0042, 0.0002]","[0.0023, 0.0001]","[0.006, 0.0005]","[0.021, 0.0011]","[0.0278, 0.0012]","[0.0339, 0.0013]","[0.0132, 0.0008]","[0.0696, 0.0019]"
CML,50,1,0.001,30,Euclidean,0,1,,"[0.0119, 0.0005]","[0.0015, 0.0001]","[0.0015, 0.0001]","[0.0015, 0.0001]","[0.0015, 0.0001]","[0.0013, 0.0]","[0.0014, 0.0002]","[0.009, 0.0007]","[0.0133, 0.0008]","[0.0173, 0.001]","[0.0044, 0.0005]","[0.0396, 0.0014]"
CML,100,1,0.001,30,Euclidean,0,1,,"[0.0173, 0.0006]","[0.0025, 0.0001]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.003, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0153, 0.0009]","[0.0209, 0.0011]","[0.0261, 0.0012]","[0.0089, 0.0007]","[0.0518, 0.0016]"
CML,200,1,0.001,30,Euclidean,0,1,,"[0.0241, 0.0008]","[0.0034, 0.0002]","[0.003, 0.0001]","[0.0027, 0.0001]","[0.0043, 0.0003]","[0.0023, 0.0001]","[0.0061, 0.0005]","[0.021, 0.0011]","[0.0273, 0.0012]","[0.0334, 0.0013]","[0.0135, 0.0009]","[0.0689, 0.0019]"
CML,50,1,0.01,30,Euclidean,0,1,,"[0.0121, 0.0005]","[0.0015, 0.0001]","[0.0015, 0.0001]","[0.0015, 0.0001]","[0.0014, 0.0001]","[0.0014, 0.0]","[0.0015, 0.0002]","[0.0085, 0.0007]","[0.0134, 0.0008]","[0.0179, 0.001]","[0.0041, 0.0005]","[0.0409, 0.0015]"
CML,100,1,0.01,30,Euclidean,0,1,,"[0.0166, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0026, 0.0002]","[0.0017, 0.0001]","[0.0029, 0.0003]","[0.014, 0.0009]","[0.0194, 0.001]","[0.0248, 0.0011]","[0.0079, 0.0006]","[0.0515, 0.0016]"
CML,200,1,0.01,30,Euclidean,0,1,,"[0.0244, 0.0008]","[0.0034, 0.0002]","[0.0029, 0.0001]","[0.0027, 0.0001]","[0.0041, 0.0002]","[0.0023, 0.0001]","[0.0062, 0.0006]","[0.0207, 0.0011]","[0.0271, 0.0012]","[0.0333, 0.0013]","[0.0129, 0.0008]","[0.0707, 0.0019]"
CML,50,1,0.1,30,Euclidean,0,1,,"[0.0121, 0.0005]","[0.0015, 0.0001]","[0.0015, 0.0001]","[0.0015, 0.0001]","[0.0017, 0.0002]","[0.0014, 0.0]","[0.0016, 0.0003]","[0.0087, 0.0007]","[0.0129, 0.0008]","[0.0173, 0.0009]","[0.0047, 0.0005]","[0.04, 0.0014]"
CML,100,1,0.1,30,Euclidean,0,1,,"[0.0171, 0.0006]","[0.0025, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0029, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0152, 0.0009]","[0.0205, 0.0011]","[0.0251, 0.0012]","[0.0089, 0.0007]","[0.0517, 0.0016]"
CML,200,1,0.1,30,Euclidean,0,1,,"[0.0237, 0.0008]","[0.0033, 0.0002]","[0.0029, 0.0001]","[0.0026, 0.0001]","[0.004, 0.0002]","[0.0023, 0.0001]","[0.0059, 0.0005]","[0.0203, 0.0011]","[0.0265, 0.0012]","[0.0321, 0.0013]","[0.0128, 0.0008]","[0.0687, 0.0019]"
