,algorithm,query,retrieval
27,PureSVD,"['My Giant (1998)<br>Comedy<br>Popularity:3.0', 'Taste of Cherry (1997)<br>Drama<br>Popularity:13.0', 'Celebrity (1998)<br>Comedy<br>Popularity:12.0', 'American Werewolf in Paris, An (1997)<br>Comedy|Horror<br>Popularity:49.0', 'Superstar (1999)<br>Comedy<br>Popularity:29.0', ""Jesus' Son (1999)<br>Drama<br>Popularity:57.0""]","['Almost Famous (2000)<br>Comedy|Drama<br>Popularity:524.0', 'High Fidelity (2000)<br>Comedy<br>Popularity:723.0', 'Best in Show (2000)<br>Comedy<br>Popularity:293.0']"
27,PmiPLRec,"['My Giant (1998)<br>Comedy<br>Popularity:3.0', 'Taste of Cherry (1997)<br>Drama<br>Popularity:13.0', 'Celebrity (1998)<br>Comedy<br>Popularity:12.0', 'American Werewolf in Paris, An (1997)<br>Comedy|Horror<br>Popularity:49.0', 'Superstar (1999)<br>Comedy<br>Popularity:29.0', ""Jesus' Son (1999)<br>Drama<br>Popularity:57.0""]","['Election (1999)<br>Comedy<br>Popularity:932.0', 'High Fidelity (2000)<br>Comedy<br>Popularity:723.0', 'American Beauty (1999)<br>Comedy|Drama<br>Popularity:2545.0']"
29,PureSVD,['On the Ropes (1999)<br>Documentary<br>Popularity:5.0'],"['Men in Black (1997)<br>Action|Adventure|Comedy|Sci-Fi<br>Popularity:1271.0', 'Hoop Dreams (1994)<br>Documentary<br>Popularity:450.0', 'Star Wars: Episode IV - A New Hope (1977)<br>Action|Adventure|Fantasy|Sci-Fi<br>Popularity:2234.0']"
29,PLRec,['On the Ropes (1999)<br>Documentary<br>Popularity:5.0'],"['Men in Black (1997)<br>Action|Adventure|Comedy|Sci-Fi<br>Popularity:1271.0', 'Hoop Dreams (1994)<br>Documentary<br>Popularity:450.0', 'Star Wars: Episode IV - A New Hope (1977)<br>Action|Adventure|Fantasy|Sci-Fi<br>Popularity:2234.0']"
29,PmiPLRec,['On the Ropes (1999)<br>Documentary<br>Popularity:5.0'],"['Hoop Dreams (1994)<br>Documentary<br>Popularity:450.0', 'Terminator 2: Judgment Day (1991)<br>Action|Sci-Fi|Thriller<br>Popularity:1737.0', 'American Beauty (1999)<br>Comedy|Drama<br>Popularity:2545.0']"
17,PmiPLRec,"['Picture Bride (1995)<br>Drama|Romance<br>Popularity:10.0', ""Muriel's Wedding (1994)<br>Comedy|Romance<br>Popularity:218.0"", 'Kolya (1996)<br>Comedy<br>Popularity:120.0']","['Four Weddings and a Funeral (1994)<br>Comedy|Romance<br>Popularity:568.0', 'Full Monty, The (1997)<br>Comedy<br>Popularity:639.0', 'Clueless (1995)<br>Comedy|Romance<br>Popularity:628.0']"
17,PureSVD,"['Picture Bride (1995)<br>Drama|Romance<br>Popularity:10.0', ""Muriel's Wedding (1994)<br>Comedy|Romance<br>Popularity:218.0"", 'Kolya (1996)<br>Comedy<br>Popularity:120.0']","['Full Monty, The (1997)<br>Comedy<br>Popularity:639.0', 'Four Weddings and a Funeral (1994)<br>Comedy|Romance<br>Popularity:568.0', 'L.A. Confidential (1997)<br>Crime|Film-Noir|Mystery|Thriller<br>Popularity:1572.0']"
17,PLRec,"['Picture Bride (1995)<br>Drama|Romance<br>Popularity:10.0', ""Muriel's Wedding (1994)<br>Comedy|Romance<br>Popularity:218.0"", 'Kolya (1996)<br>Comedy<br>Popularity:120.0']","['Full Monty, The (1997)<br>Comedy<br>Popularity:639.0', 'Four Weddings and a Funeral (1994)<br>Comedy|Romance<br>Popularity:568.0', 'L.A. Confidential (1997)<br>Crime|Film-Noir|Mystery|Thriller<br>Popularity:1572.0']"
32,PureSVD,"['Police Academy 2: Their First Assignment (1985)<br>Comedy<br>Popularity:20.0', 'Sunshine (1999)<br>Drama<br>Popularity:33.0']","['High Fidelity (2000)<br>Comedy<br>Popularity:723.0', 'Almost Famous (2000)<br>Comedy|Drama<br>Popularity:524.0', 'Star Wars: Episode IV - A New Hope (1977)<br>Action|Adventure|Fantasy|Sci-Fi<br>Popularity:2234.0']"
32,PmiPLRec,"['Police Academy 2: Their First Assignment (1985)<br>Comedy<br>Popularity:20.0', 'Sunshine (1999)<br>Drama<br>Popularity:33.0']","['Almost Famous (2000)<br>Comedy|Drama<br>Popularity:524.0', 'High Fidelity (2000)<br>Comedy<br>Popularity:723.0', ""Boys Don't Cry (1999)<br>Drama<br>Popularity:521.0""]"
32,PLRec,"['Police Academy 2: Their First Assignment (1985)<br>Comedy<br>Popularity:20.0', 'Sunshine (1999)<br>Drama<br>Popularity:33.0']","['High Fidelity (2000)<br>Comedy<br>Popularity:723.0', 'Almost Famous (2000)<br>Comedy|Drama<br>Popularity:524.0', 'Star Wars: Episode IV - A New Hope (1977)<br>Action|Adventure|Fantasy|Sci-Fi<br>Popularity:2234.0']"
49,PLRec,"['Primal Fear (1996)<br>Drama|Thriller<br>Popularity:240.0', 'Twister (1996)<br>Action|Adventure|Romance|Thriller<br>Popularity:292.0', 'Scream 3 (2000)<br>Horror|Mystery|Thriller<br>Popularity:89.0']","['Jaws (1975)<br>Action|Horror<br>Popularity:976.0', 'Speed (1994)<br>Action|Romance|Thriller<br>Popularity:704.0', 'Jurassic Park (1993)<br>Action|Adventure|Sci-Fi<br>Popularity:1418.0']"
49,PureSVD,"['Primal Fear (1996)<br>Drama|Thriller<br>Popularity:240.0', 'Twister (1996)<br>Action|Adventure|Romance|Thriller<br>Popularity:292.0', 'Scream 3 (2000)<br>Horror|Mystery|Thriller<br>Popularity:89.0']","['Jaws (1975)<br>Action|Horror<br>Popularity:976.0', 'Armageddon (1998)<br>Action|Adventure|Sci-Fi|Thriller<br>Popularity:341.0', 'Speed (1994)<br>Action|Romance|Thriller<br>Popularity:704.0']"
49,PmiPLRec,"['Primal Fear (1996)<br>Drama|Thriller<br>Popularity:240.0', 'Twister (1996)<br>Action|Adventure|Romance|Thriller<br>Popularity:292.0', 'Scream 3 (2000)<br>Horror|Mystery|Thriller<br>Popularity:89.0']","['Speed (1994)<br>Action|Romance|Thriller<br>Popularity:704.0', 'Independence Day (ID4) (1996)<br>Action|Sci-Fi|War<br>Popularity:684.0', 'Rock, The (1996)<br>Action|Adventure|Thriller<br>Popularity:641.0']"
25,PLRec,"['Raging Bull (1980)<br>Drama<br>Popularity:395.0', 'Thousand Acres, A (1997)<br>Drama<br>Popularity:8.0', ""Jungle Book, The (1967)<br>Animation|Children's|Comedy|Musical<br>Popularity:295.0"", 'Public Access (1993)<br>Drama|Thriller<br>Popularity:1.0', ""Pok\xc3\xa9mon: The First Movie (1998)<br>Animation|Children's<br>Popularity:10.0""]","['Taxi Driver (1976)<br>Drama|Thriller<br>Popularity:807.0', ""Willy Wonka and the Chocolate Factory (1971)<br>Adventure|Children's|Comedy|Fantasy<br>Popularity:586.0"", ""Fantasia (1940)<br>Animation|Children's|Musical<br>Popularity:454.0""]"
25,PmiPLRec,"['Raging Bull (1980)<br>Drama<br>Popularity:395.0', 'Thousand Acres, A (1997)<br>Drama<br>Popularity:8.0', ""Jungle Book, The (1967)<br>Animation|Children's|Comedy|Musical<br>Popularity:295.0"", 'Public Access (1993)<br>Drama|Thriller<br>Popularity:1.0', ""Pok\xc3\xa9mon: The First Movie (1998)<br>Animation|Children's<br>Popularity:10.0""]","[""Fantasia (1940)<br>Animation|Children's|Musical<br>Popularity:454.0"", 'Taxi Driver (1976)<br>Drama|Thriller<br>Popularity:807.0', ""Snow White and the Seven Dwarfs (1937)<br>Animation|Children's|Musical<br>Popularity:330.0""]"
25,PureSVD,"['Raging Bull (1980)<br>Drama<br>Popularity:395.0', 'Thousand Acres, A (1997)<br>Drama<br>Popularity:8.0', ""Jungle Book, The (1967)<br>Animation|Children's|Comedy|Musical<br>Popularity:295.0"", 'Public Access (1993)<br>Drama|Thriller<br>Popularity:1.0', ""Pok\xc3\xa9mon: The First Movie (1998)<br>Animation|Children's<br>Popularity:10.0""]","['Taxi Driver (1976)<br>Drama|Thriller<br>Popularity:807.0', ""Willy Wonka and the Chocolate Factory (1971)<br>Adventure|Children's|Comedy|Fantasy<br>Popularity:586.0"", ""Fantasia (1940)<br>Animation|Children's|Musical<br>Popularity:454.0""]"
7,PureSVD,"['Rainmaker, The (1997)<br>Drama<br>Popularity:114.0', 'Closer You Get, The (2000)<br>Comedy|Romance<br>Popularity:2.0']","['Few Good Men, A (1992)<br>Crime|Drama<br>Popularity:506.0', 'Apollo 13 (1995)<br>Drama<br>Popularity:682.0', 'Titanic (1997)<br>Drama|Romance<br>Popularity:654.0']"
7,PLRec,"['Rainmaker, The (1997)<br>Drama<br>Popularity:114.0', 'Closer You Get, The (2000)<br>Comedy|Romance<br>Popularity:2.0']","['Few Good Men, A (1992)<br>Crime|Drama<br>Popularity:506.0', 'Apollo 13 (1995)<br>Drama<br>Popularity:682.0', 'Titanic (1997)<br>Drama|Romance<br>Popularity:654.0']"
7,PmiPLRec,"['Rainmaker, The (1997)<br>Drama<br>Popularity:114.0', 'Closer You Get, The (2000)<br>Comedy|Romance<br>Popularity:2.0']","['Few Good Men, A (1992)<br>Crime|Drama<br>Popularity:506.0', 'Apollo 13 (1995)<br>Drama<br>Popularity:682.0', 'Good Will Hunting (1997)<br>Drama<br>Popularity:965.0']"
42,PmiPLRec,"['Ref, The (1994)<br>Comedy<br>Popularity:138.0', 'Die Hard 2 (1990)<br>Action|Thriller<br>Popularity:457.0', 'Slums of Beverly Hills, The (1998)<br>Comedy<br>Popularity:62.0', ""Devil's Brigade, The (1968)<br>War<br>Popularity:6.0""]","['Speed (1994)<br>Action|Romance|Thriller<br>Popularity:704.0', 'Fugitive, The (1993)<br>Action|Thriller<br>Popularity:1277.0', 'Rock, The (1996)<br>Action|Adventure|Thriller<br>Popularity:641.0']"
42,PLRec,"['Ref, The (1994)<br>Comedy<br>Popularity:138.0', 'Die Hard 2 (1990)<br>Action|Thriller<br>Popularity:457.0', 'Slums of Beverly Hills, The (1998)<br>Comedy<br>Popularity:62.0', ""Devil's Brigade, The (1968)<br>War<br>Popularity:6.0""]","['Die Hard (1988)<br>Action|Thriller<br>Popularity:1031.0', 'Die Hard: With a Vengeance (1995)<br>Action|Thriller<br>Popularity:316.0', 'Total Recall (1990)<br>Action|Adventure|Sci-Fi|Thriller<br>Popularity:996.0']"
42,PureSVD,"['Ref, The (1994)<br>Comedy<br>Popularity:138.0', 'Die Hard 2 (1990)<br>Action|Thriller<br>Popularity:457.0', 'Slums of Beverly Hills, The (1998)<br>Comedy<br>Popularity:62.0', ""Devil's Brigade, The (1968)<br>War<br>Popularity:6.0""]","['Die Hard (1988)<br>Action|Thriller<br>Popularity:1031.0', 'Die Hard: With a Vengeance (1995)<br>Action|Thriller<br>Popularity:316.0', 'Total Recall (1990)<br>Action|Adventure|Sci-Fi|Thriller<br>Popularity:996.0']"
38,PureSVD,"['Rent-a-Kid (1995)<br>Comedy<br>Popularity:0.0', 'Chamber, The (1996)<br>Drama<br>Popularity:16.0', 'Horror Express (1972)<br>Horror<br>Popularity:4.0', ""Murphy's Romance (1985)<br>Comedy|Romance<br>Popularity:81.0""]","['Romancing the Stone (1984)<br>Action|Adventure|Comedy|Romance<br>Popularity:566.0', 'Lethal Weapon (1987)<br>Action|Comedy|Crime|Drama<br>Popularity:902.0', 'Lethal Weapon 2 (1989)<br>Action|Comedy|Crime|Drama<br>Popularity:408.0']"
38,PmiPLRec,"['Rent-a-Kid (1995)<br>Comedy<br>Popularity:0.0', 'Chamber, The (1996)<br>Drama<br>Popularity:16.0', 'Horror Express (1972)<br>Horror<br>Popularity:4.0', ""Murphy's Romance (1985)<br>Comedy|Romance<br>Popularity:81.0""]","['Romancing the Stone (1984)<br>Action|Adventure|Comedy|Romance<br>Popularity:566.0', 'Splash (1984)<br>Comedy|Fantasy|Romance<br>Popularity:350.0', 'Mr. Mom (1983)<br>Comedy|Drama<br>Popularity:189.0']"
38,PLRec,"['Rent-a-Kid (1995)<br>Comedy<br>Popularity:0.0', 'Chamber, The (1996)<br>Drama<br>Popularity:16.0', 'Horror Express (1972)<br>Horror<br>Popularity:4.0', ""Murphy's Romance (1985)<br>Comedy|Romance<br>Popularity:81.0""]","['Romancing the Stone (1984)<br>Action|Adventure|Comedy|Romance<br>Popularity:566.0', 'Butch Cassidy and the Sundance Kid (1969)<br>Action|Comedy|Western<br>Popularity:954.0', 'Lethal Weapon (1987)<br>Action|Comedy|Crime|Drama<br>Popularity:902.0']"
33,PmiPLRec,"['Romper Stomper (1992)<br>Action|Drama<br>Popularity:29.0', 'Wild Reeds (1994)<br>Drama<br>Popularity:19.0', 'Thousand Acres, A (1997)<br>Drama<br>Popularity:8.0', 'Turtle Diary (1985)<br>Drama<br>Popularity:7.0', 'Raise the Titanic (1980)<br>Drama|Thriller<br>Popularity:2.0', 'Shane (1953)<br>Drama|Western<br>Popularity:124.0']","['Bridge on the River Kwai, The (1957)<br>Drama|War<br>Popularity:614.0', 'Killing Fields, The (1984)<br>Drama|War<br>Popularity:470.0', 'Patton (1970)<br>Drama|War<br>Popularity:372.0']"
33,PureSVD,"['Romper Stomper (1992)<br>Action|Drama<br>Popularity:29.0', 'Wild Reeds (1994)<br>Drama<br>Popularity:19.0', 'Thousand Acres, A (1997)<br>Drama<br>Popularity:8.0', 'Turtle Diary (1985)<br>Drama<br>Popularity:7.0', 'Raise the Titanic (1980)<br>Drama|Thriller<br>Popularity:2.0', 'Shane (1953)<br>Drama|Western<br>Popularity:124.0']","['Fargo (1996)<br>Crime|Drama|Thriller<br>Popularity:1726.0', 'Terminator 2: Judgment Day (1991)<br>Action|Sci-Fi|Thriller<br>Popularity:1737.0', 'Unforgiven (1992)<br>Western<br>Popularity:515.0']"
33,PLRec,"['Romper Stomper (1992)<br>Action|Drama<br>Popularity:29.0', 'Wild Reeds (1994)<br>Drama<br>Popularity:19.0', 'Thousand Acres, A (1997)<br>Drama<br>Popularity:8.0', 'Turtle Diary (1985)<br>Drama<br>Popularity:7.0', 'Raise the Titanic (1980)<br>Drama|Thriller<br>Popularity:2.0', 'Shane (1953)<br>Drama|Western<br>Popularity:124.0']","['Fargo (1996)<br>Crime|Drama|Thriller<br>Popularity:1726.0', 'Terminator 2: Judgment Day (1991)<br>Action|Sci-Fi|Thriller<br>Popularity:1737.0', 'Unforgiven (1992)<br>Western<br>Popularity:515.0']"
45,PLRec,"['Sabotage (1936)<br>Thriller<br>Popularity:19.0', 'Place in the Sun, A (1951)<br>Drama|Romance<br>Popularity:62.0']","[""Schindler's List (1993)<br>Drama|War<br>Popularity:1770.0"", 'Notorious (1946)<br>Film-Noir|Romance|Thriller<br>Popularity:276.0', 'Strangers on a Train (1951)<br>Film-Noir|Thriller<br>Popularity:323.0']"
45,PmiPLRec,"['Sabotage (1936)<br>Thriller<br>Popularity:19.0', 'Place in the Sun, A (1951)<br>Drama|Romance<br>Popularity:62.0']","['Notorious (1946)<br>Film-Noir|Romance|Thriller<br>Popularity:276.0', 'Strangers on a Train (1951)<br>Film-Noir|Thriller<br>Popularity:323.0', 'Rear Window (1954)<br>Mystery|Thriller<br>Popularity:660.0']"
45,PureSVD,"['Sabotage (1936)<br>Thriller<br>Popularity:19.0', 'Place in the Sun, A (1951)<br>Drama|Romance<br>Popularity:62.0']","[""Schindler's List (1993)<br>Drama|War<br>Popularity:1770.0"", 'Notorious (1946)<br>Film-Noir|Romance|Thriller<br>Popularity:276.0', 'Strangers on a Train (1951)<br>Film-Noir|Thriller<br>Popularity:323.0']"
10,PLRec,"['Sabrina (1995)<br>Comedy|Romance<br>Popularity:119.0', 'Message to Love: The Isle of Wight Festival (1996)<br>Documentary<br>Popularity:3.0', ""Watership Down (1978)<br>Animation|Children's|Drama|Fantasy<br>Popularity:135.0"", 'Pink Flamingos (1972)<br>Comedy<br>Popularity:48.0']","['Sleepless in Seattle (1993)<br>Comedy|Romance<br>Popularity:407.0', 'Pretty Woman (1990)<br>Comedy|Romance<br>Popularity:388.0', ""You've Got Mail (1998)<br>Comedy|Romance<br>Popularity:241.0""]"
10,PmiPLRec,"['Sabrina (1995)<br>Comedy|Romance<br>Popularity:119.0', 'Message to Love: The Isle of Wight Festival (1996)<br>Documentary<br>Popularity:3.0', ""Watership Down (1978)<br>Animation|Children's|Drama|Fantasy<br>Popularity:135.0"", 'Pink Flamingos (1972)<br>Comedy<br>Popularity:48.0']","['Sleepless in Seattle (1993)<br>Comedy|Romance<br>Popularity:407.0', 'Pretty Woman (1990)<br>Comedy|Romance<br>Popularity:388.0', 'Notting Hill (1999)<br>Comedy|Romance<br>Popularity:301.0']"
10,PureSVD,"['Sabrina (1995)<br>Comedy|Romance<br>Popularity:119.0', 'Message to Love: The Isle of Wight Festival (1996)<br>Documentary<br>Popularity:3.0', ""Watership Down (1978)<br>Animation|Children's|Drama|Fantasy<br>Popularity:135.0"", 'Pink Flamingos (1972)<br>Comedy<br>Popularity:48.0']","['Sleepless in Seattle (1993)<br>Comedy|Romance<br>Popularity:407.0', 'Pretty Woman (1990)<br>Comedy|Romance<br>Popularity:388.0', ""You've Got Mail (1998)<br>Comedy|Romance<br>Popularity:241.0""]"
39,PureSVD,"[""Son of Flubber (1963)<br>Children's|Comedy<br>Popularity:11.0"", 'Hunger, The (1983)<br>Horror<br>Popularity:43.0']","['Fight Club (1999)<br>Drama<br>Popularity:835.0', 'Blade Runner (1982)<br>Film-Noir|Sci-Fi<br>Popularity:1203.0', 'Young Frankenstein (1974)<br>Comedy|Horror<br>Popularity:720.0']"
39,PmiPLRec,"[""Son of Flubber (1963)<br>Children's|Comedy<br>Popularity:11.0"", 'Hunger, The (1983)<br>Horror<br>Popularity:43.0']","['Exorcist, The (1973)<br>Horror<br>Popularity:411.0', 'Shining, The (1980)<br>Horror<br>Popularity:530.0', 'Young Frankenstein (1974)<br>Comedy|Horror<br>Popularity:720.0']"
39,PLRec,"[""Son of Flubber (1963)<br>Children's|Comedy<br>Popularity:11.0"", 'Hunger, The (1983)<br>Horror<br>Popularity:43.0']","['Fight Club (1999)<br>Drama<br>Popularity:835.0', 'Blade Runner (1982)<br>Film-Noir|Sci-Fi<br>Popularity:1203.0', 'Young Frankenstein (1974)<br>Comedy|Horror<br>Popularity:720.0']"
6,PmiPLRec,"[""Space Jam (1996)<br>Adventure|Animation|Children's|Comedy|Fantasy<br>Popularity:67.0"", 'Raise the Red Lantern (1991)<br>Drama<br>Popularity:185.0', 'Anna and the King (1999)<br>Drama|Romance<br>Popularity:102.0', 'Nurse Betty (2000)<br>Comedy|Thriller<br>Popularity:201.0']","['Almost Famous (2000)<br>Comedy|Drama<br>Popularity:524.0', 'High Fidelity (2000)<br>Comedy<br>Popularity:723.0', 'Erin Brockovich (2000)<br>Drama<br>Popularity:654.0']"
6,PureSVD,"[""Space Jam (1996)<br>Adventure|Animation|Children's|Comedy|Fantasy<br>Popularity:67.0"", 'Raise the Red Lantern (1991)<br>Drama<br>Popularity:185.0', 'Anna and the King (1999)<br>Drama|Romance<br>Popularity:102.0', 'Nurse Betty (2000)<br>Comedy|Thriller<br>Popularity:201.0']","['Almost Famous (2000)<br>Comedy|Drama<br>Popularity:524.0', 'High Fidelity (2000)<br>Comedy<br>Popularity:723.0', 'Meet the Parents (2000)<br>Comedy<br>Popularity:320.0']"
6,PLRec,"[""Space Jam (1996)<br>Adventure|Animation|Children's|Comedy|Fantasy<br>Popularity:67.0"", 'Raise the Red Lantern (1991)<br>Drama<br>Popularity:185.0', 'Anna and the King (1999)<br>Drama|Romance<br>Popularity:102.0', 'Nurse Betty (2000)<br>Comedy|Thriller<br>Popularity:201.0']","['Almost Famous (2000)<br>Comedy|Drama<br>Popularity:524.0', 'High Fidelity (2000)<br>Comedy<br>Popularity:723.0', 'Meet the Parents (2000)<br>Comedy<br>Popularity:320.0']"
48,PLRec,"[""Swiss Family Robinson (1960)<br>Adventure|Children's<br>Popularity:86.0"", 'Some Kind of Wonderful (1987)<br>Drama|Romance<br>Popularity:68.0', 'B. Monkey (1998)<br>Romance|Thriller<br>Popularity:7.0', 'Our Town (1940)<br>Drama<br>Popularity:18.0']","['Say Anything... (1989)<br>Comedy|Drama|Romance<br>Popularity:501.0', 'When Harry Met Sally... (1989)<br>Comedy|Romance<br>Popularity:878.0', 'Breakfast Club, The (1985)<br>Comedy|Drama<br>Popularity:815.0']"
48,PureSVD,"[""Swiss Family Robinson (1960)<br>Adventure|Children's<br>Popularity:86.0"", 'Some Kind of Wonderful (1987)<br>Drama|Romance<br>Popularity:68.0', 'B. Monkey (1998)<br>Romance|Thriller<br>Popularity:7.0', 'Our Town (1940)<br>Drama<br>Popularity:18.0']","['Say Anything... (1989)<br>Comedy|Drama|Romance<br>Popularity:501.0', 'When Harry Met Sally... (1989)<br>Comedy|Romance<br>Popularity:878.0', 'Breakfast Club, The (1985)<br>Comedy|Drama<br>Popularity:815.0']"
48,PmiPLRec,"[""Swiss Family Robinson (1960)<br>Adventure|Children's<br>Popularity:86.0"", 'Some Kind of Wonderful (1987)<br>Drama|Romance<br>Popularity:68.0', 'B. Monkey (1998)<br>Romance|Thriller<br>Popularity:7.0', 'Our Town (1940)<br>Drama<br>Popularity:18.0']","[""E.T. the Extra-Terrestrial (1982)<br>Children's|Drama|Fantasy|Sci-Fi<br>Popularity:1295.0"", ""Lady and the Tramp (1955)<br>Animation|Children's|Comedy|Musical|Romance<br>Popularity:411.0"", ""Wizard of Oz, The (1939)<br>Adventure|Children's|Drama|Musical<br>Popularity:1059.0""]"
40,PureSVD,"['Tales from the Crypt Presents: Bordello of Blood (1996)<br>Horror<br>Popularity:23.0', 'Talk of Angels (1998)<br>Drama<br>Popularity:0.0', 'Rocky II (1979)<br>Action|Drama<br>Popularity:98.0']","['Rocky (1976)<br>Action|Drama<br>Popularity:553.0', 'Star Wars: Episode IV - A New Hope (1977)<br>Action|Adventure|Fantasy|Sci-Fi<br>Popularity:2234.0', 'Jaws (1975)<br>Action|Horror<br>Popularity:976.0']"
40,PmiPLRec,"['Tales from the Crypt Presents: Bordello of Blood (1996)<br>Horror<br>Popularity:23.0', 'Talk of Angels (1998)<br>Drama<br>Popularity:0.0', 'Rocky II (1979)<br>Action|Drama<br>Popularity:98.0']","['Rocky (1976)<br>Action|Drama<br>Popularity:553.0', 'Jaws (1975)<br>Action|Horror<br>Popularity:976.0', 'Lethal Weapon 2 (1989)<br>Action|Comedy|Crime|Drama<br>Popularity:408.0']"
40,PLRec,"['Tales from the Crypt Presents: Bordello of Blood (1996)<br>Horror<br>Popularity:23.0', 'Talk of Angels (1998)<br>Drama<br>Popularity:0.0', 'Rocky II (1979)<br>Action|Drama<br>Popularity:98.0']","['Rocky (1976)<br>Action|Drama<br>Popularity:553.0', 'Star Wars: Episode IV - A New Hope (1977)<br>Action|Adventure|Fantasy|Sci-Fi<br>Popularity:2234.0', 'Jaws (1975)<br>Action|Horror<br>Popularity:976.0']"
46,PLRec,"['Three Colors: White (1994)<br>Drama<br>Popularity:106.0', 'Six of a Kind (1934)<br>Comedy<br>Popularity:0.0', 'Mina Tannenbaum (1994)<br>Drama<br>Popularity:4.0', 'Love Letter, The (1999)<br>Comedy|Romance<br>Popularity:23.0']","['Three Colors: Red (1994)<br>Drama<br>Popularity:219.0', 'Shawshank Redemption, The (1994)<br>Drama<br>Popularity:1701.0', 'Secrets & Lies (1996)<br>Drama<br>Popularity:280.0']"
46,PmiPLRec,"['Three Colors: White (1994)<br>Drama<br>Popularity:106.0', 'Six of a Kind (1934)<br>Comedy<br>Popularity:0.0', 'Mina Tannenbaum (1994)<br>Drama<br>Popularity:4.0', 'Love Letter, The (1999)<br>Comedy|Romance<br>Popularity:23.0']","['Three Colors: Red (1994)<br>Drama<br>Popularity:219.0', 'Secrets & Lies (1996)<br>Drama<br>Popularity:280.0', 'Like Water for Chocolate (Como agua para chocolate) (1992)<br>Drama|Romance<br>Popularity:420.0']"
46,PureSVD,"['Three Colors: White (1994)<br>Drama<br>Popularity:106.0', 'Six of a Kind (1934)<br>Comedy<br>Popularity:0.0', 'Mina Tannenbaum (1994)<br>Drama<br>Popularity:4.0', 'Love Letter, The (1999)<br>Comedy|Romance<br>Popularity:23.0']","['Three Colors: Red (1994)<br>Drama<br>Popularity:219.0', 'Shawshank Redemption, The (1994)<br>Drama<br>Popularity:1701.0', 'Secrets & Lies (1996)<br>Drama<br>Popularity:280.0']"
20,PureSVD,"['Time to Kill, A (1996)<br>Drama<br>Popularity:122.0', 'My Own Private Idaho (1991)<br>Drama<br>Popularity:66.0']","['Titanic (1997)<br>Drama|Romance<br>Popularity:654.0', 'Fried Green Tomatoes (1991)<br>Drama<br>Popularity:238.0', 'Few Good Men, A (1992)<br>Crime|Drama<br>Popularity:506.0']"
20,PLRec,"['Time to Kill, A (1996)<br>Drama<br>Popularity:122.0', 'My Own Private Idaho (1991)<br>Drama<br>Popularity:66.0']","['Titanic (1997)<br>Drama|Romance<br>Popularity:654.0', 'Fried Green Tomatoes (1991)<br>Drama<br>Popularity:238.0', 'Few Good Men, A (1992)<br>Crime|Drama<br>Popularity:506.0']"
20,PmiPLRec,"['Time to Kill, A (1996)<br>Drama<br>Popularity:122.0', 'My Own Private Idaho (1991)<br>Drama<br>Popularity:66.0']","['Few Good Men, A (1992)<br>Crime|Drama<br>Popularity:506.0', 'Good Will Hunting (1997)<br>Drama<br>Popularity:965.0', 'Philadelphia (1993)<br>Drama<br>Popularity:245.0']"
