model,rank,alpha,lambda,iter,similarity,corruption,root,topK,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50,Unnamed: 0,metric
PLRec,50,1,10000,10,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.2486, 0.0008]","[0.2248, 0.0007]","[0.207, 0.0007]","[0.2838, 0.001]","[0.1496, 0.0005]","[0.3673, 0.0008]","[0.1959, 0.0006]","[0.1664, 0.0005]","[0.1462, 0.0005]","[0.2456, 0.0008]","[0.0893, 0.0003]","[0.2051, 0.0007]","[0.2671, 0.0009]","[0.3281, 0.0009]","[0.3749, 0.0009]","[0.1779, 0.0007]","[0.5363, 0.001]",4,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
BPR,50,1,0.00001,30,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.1646, 0.0006]","[0.1528, 0.0006]","[0.1439, 0.0005]","[0.1822, 0.0008]","[0.1129, 0.0004]","[0.288, 0.0006]","[0.1382, 0.0005]","[0.1237, 0.0004]","[0.1131, 0.0004]","[0.1637, 0.0007]","[0.0784, 0.0003]","[0.1377, 0.0005]","[0.1842, 0.0007]","[0.2415, 0.0008]","[0.292, 0.0009]","[0.1146, 0.0006]","[0.4883, 0.001]",0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
NCE-SVD,50,1,1,10,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.2742, 0.0008]","[0.2477, 0.0007]","[0.2277, 0.0006]","[0.313, 0.001]","[0.1624, 0.0005]","[0.412, 0.0008]","[0.2158, 0.0006]","[0.1823, 0.0005]","[0.159, 0.0005]","[0.2713, 0.0008]","[0.0934, 0.0003]","[0.2332, 0.0007]","[0.32, 0.0009]","[0.3908, 0.001]","[0.4415, 0.001]","[0.2129, 0.0008]","[0.5959, 0.001]",,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
NCE-PLRec,50,1,1000,10,Cosine,0,1.2,"[5, 10, 15, 20, 50]","[0.3027, 0.0009]","[0.2747, 0.0008]","[0.2536, 0.0007]","[0.344, 0.0011]","[0.1841, 0.0005]","[0.4595, 0.0008]","[0.241, 0.0007]","[0.2058, 0.0006]","[0.1811, 0.0005]","[0.2989, 0.0009]","[0.1098, 0.0004]","[0.2562, 0.0008]","[0.3401, 0.0009]","[0.4195, 0.001]","[0.4799, 0.001]","[0.2249, 0.0008]","[0.6757, 0.0009]",26,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
CML,100,1,0.0001,30,Euclidean,0,1,"[5, 10, 15, 20, 50]","[0.2489, 0.0008]","[0.2297, 0.0007]","[0.2146, 0.0007]","[0.2754, 0.001]","[0.162, 0.0005]","[0.4046, 0.0007]","[0.2079, 0.0007]","[0.1814, 0.0006]","[0.1623, 0.0005]","[0.2484, 0.0008]","[0.1034, 0.0003]","[0.2101, 0.0007]","[0.2883, 0.0009]","[0.3672, 0.0009]","[0.4292, 0.001]","[0.1795, 0.0007]","[0.6401, 0.0009]",1,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
PureSVD,50,1,1,10,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.2484, 0.0008]","[0.2246, 0.0007]","[0.2069, 0.0007]","[0.2836, 0.001]","[0.1495, 0.0005]","[0.367, 0.0008]","[0.1958, 0.0006]","[0.1663, 0.0005]","[0.146, 0.0005]","[0.2455, 0.0008]","[0.0893, 0.0003]","[0.205, 0.0007]","[0.2669, 0.0009]","[0.3278, 0.0009]","[0.3745, 0.0009]","[0.1778, 0.0007]","[0.5358, 0.001]",0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
CDAE,50,1,0.1,300,Cosine,0.2,1,"[5, 10, 15, 20, 50]","[0.0922, 0.0005]","[0.0864, 0.0004]","[0.082, 0.0004]","[0.1022, 0.0006]","[0.0672, 0.0003]","[0.1843, 0.0005]","[0.0787, 0.0004]","[0.0722, 0.0003]","[0.067, 0.0003]","[0.0897, 0.0005]","[0.051, 0.0002]","[0.0795, 0.0004]","[0.1122, 0.0006]","[0.1491, 0.0007]","[0.1811, 0.0007]","[0.0652, 0.0005]","[0.3323, 0.0009]",4,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
WRMF,100,100,1000,10,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.2885, 0.0008]","[0.2634, 0.0007]","[0.2442, 0.0006]","[0.3244, 0.001]","[0.1795, 0.0005]","[0.4633, 0.0008]","[0.234, 0.0006]","[0.2011, 0.0006]","[0.178, 0.0005]","[0.2866, 0.0008]","[0.1094, 0.0003]","[0.2612, 0.0008]","[0.352, 0.001]","[0.4326, 0.001]","[0.4938, 0.001]","[0.2321, 0.0008]","[0.6881, 0.0009]",3,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
VAE-CF,200,1,0.001,300,Cosine,0.5,1,"[5, 10, 15, 20, 50]","[0.3028, 0.0008]","[0.2753, 0.0007]","[0.2544, 0.0007]","[0.3423, 0.001]","[0.1849, 0.0005]","[0.4698, 0.0008]","[0.2428, 0.0007]","[0.2073, 0.0006]","[0.1824, 0.0005]","[0.3005, 0.0009]","[0.1102, 0.0003]","[0.2701, 0.0008]","[0.3566, 0.001]","[0.4364, 0.001]","[0.4955, 0.001]","[0.238, 0.0008]","[0.6824, 0.0009]",12,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
AutoRec,50,1,0.00001,300,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.1663, 0.0007]","[0.1535, 0.0006]","[0.1434, 0.0006]","[0.1845, 0.0008]","[0.1093, 0.0004]","[0.2711, 0.0007]","[0.139, 0.0005]","[0.1213, 0.0005]","[0.1083, 0.0004]","[0.1625, 0.0007]","[0.0723, 0.0003]","[0.1338, 0.0005]","[0.1787, 0.0007]","[0.2327, 0.0008]","[0.2732, 0.0009]","[0.1065, 0.0006]","[0.437, 0.001]",0,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
POP,1,1,1,1,Cosine,0,1,"[5, 10, 15, 20, 50]","[0.0922, 0.0005]","[0.0864, 0.0004]","[0.082, 0.0004]","[0.1022, 0.0006]","[0.0672, 0.0003]","[0.1843, 0.0005]","[0.0787, 0.0004]","[0.0722, 0.0003]","[0.067, 0.0003]","[0.0897, 0.0005]","[0.051, 0.0002]","[0.0795, 0.0004]","[0.1122, 0.0006]","[0.1491, 0.0007]","[0.1811, 0.0007]","[0.0652, 0.0005]","[0.3322, 0.0009]",,"['R-Precision', 'NDCG', 'Precision', 'Recall', 'MAP']"
